,text,true_label,pred_label,true_label_name,pred_label_name,error_type
26,"Repeat ectopic pregnancy occurred in @ women ( @ % ) in the salpingotomy group and @ ( @ % ) women in the salpingectomy group ( RR @ , @-@ ) .",tensor(4),1,results,conclusions,results → conclusions
27,High-sensitivity cardiac troponin is the best single marker .,tensor(2),4,methods,results,methods → results
28,"Multivariate ANOVAs with post hoc tests revealed significant and comparable reductions of dysfunctional tinnitus-related cognitions for both treatments ( GCBT and ICBT ) , which remained stable over a @ - and @-month period .",tensor(1),4,conclusions,results,conclusions → results
29,"Negative correlations were found between the catastrophic subscale of the T-Cog and therapy outcome for ICBT , but not for GCBT .",tensor(3),0,objective,background,objective → background
30,Both forms of CBT are successful in reducing dysfunctional tinnitus-related cognitions .,tensor(3),0,objective,background,objective → background
31,Handling emergency telephone consultations ( ETCs ) is a challenging and very important task for doctors .,tensor(3),0,objective,background,objective → background
32,"We used ETCs with simulated patients ( SPs ) , with each student randomly allocated two of four possible cases .",tensor(3),1,objective,conclusions,objective → conclusions
33,"ETC training in medical schools , with a focus on structured history taking and formulating discriminating questions , might help decrease insecurity in ETCs .",tensor(0),3,background,objective,background → objective
34,"Furthermore , use of preemptive or postoperative paracetamol reduces total fentanyl requirements in the first @ h postoperatively providing a safe and effective postoperative analgesia .",tensor(3),0,objective,background,objective → background
35,This study sought to investigate whether periprocedural ischemic DWI lesions after CAS or carotid endarterectomy ( CEA ) are associated with an increased risk of recurrent cerebrovascular events .,tensor(1),4,conclusions,results,conclusions → results
36,Ischemic brain lesions discovered on DWI after CAS seem to be a marker of increased risk for recurrent cerebrovascular events .,tensor(0),4,background,results,background → results
37,Eligibility criteria were women with signs of incomplete abortion .,tensor(0),1,background,conclusions,background → conclusions
38,"From April @ , @ , to July @ , @ , @ women were assessed for eligibility .",tensor(3),0,objective,background,objective → background
39,@ women were randomly assigned to each group ( @ to midwife group and @ to physician group ) .,tensor(3),0,objective,background,objective → background
40,"Recruitment of patients into interventions in clinical practice settings is difficult due to limited time available in the clinic , identification of appropriate personnel to efficiently conduct the process , and time-consuming methods of recruitment .",tensor(0),3,background,objective,background → objective
41,"Using this approach , a high proportion of potentially eligible veterans were screened by their PCPs .",tensor(0),1,background,conclusions,background → conclusions
42,"During CABG , clevidipine was not inferior to NTG for blood pressure control pre-bypass .",tensor(4),2,results,methods,results → methods
43,"No significant difference was observed between the irritation grades of group A and B ( Z = -@ , P = @ ) ; the duration of irritative symptom was significantly shorter in group A than that in group B ( Z = -@ , P = @ ) .",tensor(0),2,background,methods,background → methods
44,No significant difference was observed between the time of healing and visual acuity recovery of the two groups .,tensor(2),4,methods,results,methods → results
45,"@ % bromfenac sodium eye drops can effectively relieve the post-LASEK irritative symptoms , and it is better tolerated than @ % ketorolac tromethamine eye drops .",tensor(2),0,methods,background,methods → background
46,Postnatal common mental disorders among women are an important public health problem internationally .,tensor(4),2,results,methods,results → methods
47,"What Were We Thinking ( WWWT ) is a structured , gender-informed , psychoeducational group programme for parents and their first infant that addresses two modifiable risks to postnatal mental health .",tensor(1),0,conclusions,background,conclusions → background
48,"QOL issues , such as emotional condition , functional status , and additional concerns , demonstrated a remarkable improvement in the fat-filling group at postoperative @mo compared with the non-filling ( control ) group .",tensor(3),0,objective,background,objective → background
49,This novel procedure significantly improved patient QOL and may prove useful as a relatively safe preventive surgical adjunct operation for refractory cough .,tensor(2),4,methods,results,methods → results
50,Modafinil has been reported to benefit a subgroup of patients suffering severe fatigue while undergoing chemotherapy .,tensor(2),4,methods,results,methods → results
51,We investigated whether modafinil could reduce fatigue during docetaxel chemotherapy .,tensor(0),1,background,conclusions,background → conclusions
52,"This multicenter , randomized , double-blind , placebo-controlled study evaluated the efficacy of modafinil in patients with metastatic prostate or breast cancer undergoing docetaxel chemotherapy ( every @ days ; minimum dose @ mg/m ( @ ) ) .",tensor(1),4,conclusions,results,conclusions → results
53,"After detoxification , @ patients were randomized into @ groups as follows : @ patients received @ mg of TOP ( oral , twice daily ) , titrated over @ weeks , and @ patients received placebo ( PLA ) .",tensor(4),2,results,methods,results → methods
54,"Opioid consumption significantly decreased in Group I ( P < @ during first @ months and @ at the last assessment time ) , with concomitant significant reduction in related side effects .",tensor(0),1,background,conclusions,background → conclusions
55,"To study the effects of oromucosal detomidine gel administered sublingually to calves prior to disbudding , and to compare its efficacy with intravenously ( IV ) administered detomidine .",tensor(4),2,results,methods,results → methods
56,No complications of the procedure were recorded in the Preconditioning group .,tensor(4),1,results,conclusions,results → conclusions
57,"The application of this technique of preconditioning was associated with certain benefits , including improved left ventricular function after weaning from cardiopulmonary bypass and a reduced need for inotropic support .",tensor(2),4,methods,results,methods → results
58,Minimal-change nephrotic syndrome ( MCNS ) is a common cause of steroid sensitive nephrotic syndrome ( NS ) with frequent relapse .,tensor(1),0,conclusions,background,conclusions → background
59,Seventeen of these received a second course of RTX and then had a complete ( n = @ ) or partial ( n = @ ) clinical response .,tensor(0),3,background,objective,background → objective
60,RTX is safe and effective in adult patients with MCNS and could be an alternative to steroids or CNIs in patients with a long history of relapsing MCNS .,tensor(3),0,objective,background,objective → background
61,CRP levels did not show significant variation in the first three time periods .,tensor(1),0,conclusions,background,conclusions → background
62,The intravitreal concentration continued to increase gradually until @ hours ( @ @ mg/g ) .,tensor(2),4,methods,results,methods → results
63,Intravenous concentration of carboplatin was undetectable in all patients .,tensor(3),0,objective,background,objective → background
64,Serial wide-field fluorescein angiography was performed on eyes with preproliferative ( ischemic ) central retinal vein occlusion to evaluate retinal perfusion .,tensor(3),0,objective,background,objective → background
65,"Glucocorticoids may reduce postoperative inflammatory responses and enhance recovery , but with limited information on EVAR .",tensor(0),1,background,conclusions,background → conclusions
66,Primary outcome was a modified version of the systemic inflammatory response syndrome .,tensor(3),0,objective,background,objective → background
67,The present study tested the hypothesis that pretreatment with metformin decreases postprocedural myocardial injury and improves clinical outcomes in metabolic syndrome patients following percutaneous coronary intervention ( PCI ) .,tensor(3),0,objective,background,objective → background
68,We enrolled @ metabolic syndrome patients with no prior history of metformin treatment .,tensor(0),3,background,objective,background → objective
69,@ middle-aged BCSs with chronic insomnia .,tensor(4),2,results,methods,results → methods
70,"Sleep outcomes ( e.g. , sleep efficiency , sleep latency , total sleep time , wake after sleep onset , number of nightly awakenings ) ; secondary variables included sleep medication use , insomnia severity , QOL , physical function , cognitive function , fatigue , depression , anxiety , and sleep attitudes or knowledge .",tensor(1),4,conclusions,results,conclusions → results
71,Patients in Group A were needled at right Waiguan ( SJ@ ) .,tensor(4),1,results,conclusions,results → conclusions
72,Patients ' satisfaction and preference in treatment were also assessed .,tensor(1),4,conclusions,results,conclusions → results
73,The immediate effects ( @-week follow-up ) were better with the Q-switched Nd : YAG laser but there was no great difference between the two laser types at @-month follow-up due to the greater degree of post-inflammatory hyperpigmentation following Q-switched Nd : YAG .,tensor(0),3,background,objective,background → objective
74,"Daclizumab HYP is characterized by slow clearance , linear pharmacokinetics ( at doses@mg ) , high subcutaneous bioavailability , and a half-life suitable for monthly administration .",tensor(0),4,background,results,background → results
75,The primary end point was mortality at day @ .,tensor(4),1,results,conclusions,results → conclusions
76,"There was also no significant difference in mortality at @ days , with @ deaths ( @ % ) and @ deaths ( @ % ) , respectively ( hazard ratio , @ ; @ % CI , @ to @ ; P = @ ) .",tensor(0),2,background,methods,background → methods
77,The breast-conserving surgery rate was @ % ( @ % CI = @-@ @ ) in the anastrozole arm and @ % ( @ % CI = @-@ @ ) in the fulvestrant arm .,tensor(4),2,results,methods,results → methods
78,"The Ki-@ score fell after treatment but there was no significant difference between the reduction in the two arms ( anastrozole @ % ( @ % CI = @-@ @ ) before , @ % ( @ % CI = @-@ @ ) after , n = @ ; fulvestrant @ % ( @ % CI = @-@ @ ) before , @ % ( @ % CI = @-@ @ ) after , n = @ ) or between the reduction in Ki-@ in clinical responders and non-responders .",tensor(1),4,conclusions,results,conclusions → results
79,The purpose of the present study is to evaluate the impact of a health psychology-led bariatric rehabilitation service ( BRS ) on patient weight loss following bariatric surgery at @ year .,tensor(3),0,objective,background,objective → background
80,A single-site open-randomised parallel group control trial based at St. Richard 's Hospital in Chichester in the UK .,tensor(1),0,conclusions,background,conclusions → background
81,Patients ( n = @ ) were recruited immediately prior to Roux-en-Y gastric bypass and randomly allocated to receive either treatment as usual ( n = @ ) or the BRS ( n = @ ) .,tensor(3),0,objective,background,objective → background
82,"The BRS involved three @-min one-to-one sessions with a health psychologist and provided information , support and mentoring pre and post surgery addressing psychological issues such as dietary control , self esteem , coping and emotional eating .",tensor(4),2,results,methods,results → methods
83,The key outcome variable was BMI and change in BMI .,tensor(3),0,objective,background,objective → background
84,Intention-to-treat analysis ( n = @ ) using last measured weights showed that mean change in BMI by @ year post surgery was -@ .,tensor(1),4,conclusions,results,conclusions → results
85,"To date , the Orsiro Hybrid sirolimus-eluting stent has excelled in terms of late lumen loss at @ months in a first-in-man single-arm trial .",tensor(4),1,results,conclusions,results → conclusions
86,Six weeks of triple therapy was not superior to @ months with respect to net clinical outcomes .,tensor(1),4,conclusions,results,conclusions → results
87,These results suggest that physicians should weigh the trade-off between ischemic and bleeding risk when choosing the shorter or longer duration of triple therapy .,tensor(0),3,background,objective,background → objective
88,To compare the effects of a @-week supplementation between two different mixtures of antioxidants and placebo on aerobic exercise performance in acute normobaric hypoxia .,tensor(1),4,conclusions,results,conclusions → results
89,"Seventeen subjects were randomly assigned in a double-blind fashion to receive a broad-based antioxidants supplement containing beta-carotene , ascorbic acid , d-alpha-tocopherol-succinate , N-acetylcysteine , riboflavin , zinc , and selenium ( antioxidant capsule group -LSB- AO group -RSB- ) , or a combination of alpha-ketoglutaric acid ( - KG ) and @-hydroxymethylfurfural ( @-HMF ; CYL concentrate supplementation group -LSB- CS group -RSB- ) , or placebo ( PL group ) .",tensor(0),1,background,conclusions,background → conclusions
90,"The first test was conducted under normoxic conditions ( LA , FiO@ of @ % , ~ @ m ) and the second after the @-week supplementation period under normobaric hypoxic conditions ( AHA , FiO@ of @ % , ~ @m ) .",tensor(4),2,results,methods,results → methods
91,In CS peak cycling performance ( peak power ) declined from LA to AHA @ % ( @ % CI : @-@ @ ) less compared with PL ( p = @ ) and @ % ( @ % CI : @-@ @ ) less compared with AO ( p = @ ) .,tensor(4),2,results,methods,results → methods
92,Safety data were collected for patients treated with @ dose of CZP .,tensor(1),0,conclusions,background,conclusions → background
93,"Of the @ patients who were randomized , @ received CZP from week @ .",tensor(0),3,background,objective,background → objective
94,Clinical improvements to week @ in both CZP dosing regimens were sustained to week @ .,tensor(1),0,conclusions,background,conclusions → background
95,"In patients with an MMRS < @ , TRA was used in @,@ ( @ % ) of @,@ PCI procedures ; TRA was used in @,@ ( @ % ) of @,@ PCI procedures in patients with an MMRS @ , illustrating that TRA was used less in those at highest risk from bleeding complications ( p < @ ) .",tensor(4),2,results,methods,results → methods
96,"TRA was independently associated with reduced @-day mortality , and the magnitude of this effect was related to baseline bleeding risk ; those at highest risk of bleeding complications gained the greatest benefit from adoption of TRA during PCI .",tensor(2),0,methods,background,methods → background
97,Patients with severe acute exacerbations of asthma often receive inappropriate antibiotic treatment .,tensor(1),0,conclusions,background,conclusions → background
98,"Compared with placebo , azithromycin treatment did not reduce serum IL-@ levels at day @ ( P = @ ) but resulted in a greater decrease in nasal lavage fluid IL-@ levels by day @ ( P = @ ) .",tensor(0),2,background,methods,background → methods
99,"Median OS was @ and @ months in the panitumumab and bevacizumab arms , respectively ( HR , @ ; @ % CI , @ to @ ; P = @ ) .",tensor(0),2,background,methods,background → methods
100,Patients with WT RAS tumors seemed to experience more clinical benefit with anti-epidermal growth factor receptor therapy .,tensor(4),1,results,conclusions,results → conclusions
101,Definitive restorations were placed after a minimum transgingival healing period of @ weeks .,tensor(0),3,background,objective,background → objective
102,Sixty-eight patients received @ implants in the platform switching group and @ in the other one .,tensor(0),2,background,methods,background → methods
103,Pronounced nasojugal groove ( tear trough deformity ) is one of the landmarks of aging .,tensor(2),3,methods,objective,methods → objective
104,Hyaluronic acid filler can be used for attenuating the nasojugal sulcus but irregular lumpness and overcorrection are common adverse reactions .,tensor(3),0,objective,background,objective → background
105,Duration of overall effect varied among the patients .,tensor(2),4,methods,results,methods → results
106,Restylane Vital injector offers more predictable results and a lower incidence of adverse effects than more commonly used techniques .,tensor(1),0,conclusions,background,conclusions → background
107,Hyaluronic acid filler intradermal injection with special injector is a safe and effective method for correction of nasojugal groove .,tensor(0),3,background,objective,background → objective
108,The therapeutic methods were same as the acupuncture-moxibustion group and the Chinese medication group .,tensor(2),4,methods,results,methods → results
109,"This was a single-center , randomized clinical trial performed at Kamuzu Central Hospital , Lilongwe , Malawi .",tensor(1),4,conclusions,results,conclusions → results
110,"Overall postoperative mortality was @ % , with a higher mortality rate in the control group compared with the intervention group ( @ % and @ % , respectively ; P = @ -LSB- @ % CI , @-@ @ -RSB- ) .",tensor(4),2,results,methods,results → methods
111,"Patients were @ right-handed or ambidextrous men and women aged between @ and @ years , with OSA and persistent sleepiness , as determined by multiple sleep latency and Epworth Sleepiness Scale scores , despite effective , stable use of CPAP .",tensor(3),0,objective,background,objective → background
112,The key secondary measure was the change in task response latency .,tensor(1),0,conclusions,background,conclusions → background
113,Childhood obesity is a growing concern in Sweden .,tensor(4),2,results,methods,results → methods
114,"Children with overweight and obesity run a high risk of becoming obese as adults , and are likely to develop comorbidities .",tensor(2),4,methods,results,methods → results
115,"Despite the immense demand , there is still a lack of evidence-based comprehensive prevention programmes targeting pre-school children and their families in primary health care settings .",tensor(4),2,results,methods,results → methods
116,The PRIMROSE trial targets first-time parents and their children at Swedish child health centres ( CHC ) in eight counties in Sweden .,tensor(1),4,conclusions,results,conclusions → results
117,"The intervention programme , starting when the child is @-@months of age and ending at age @ , is based on social cognitive theory and employs motivational interviewing .",tensor(3),2,objective,methods,objective → methods
118,"Secondary outcomes are children 's and mothers ' eating habits ( assessed by a food frequency questionnaire ) , and children 's and mothers ' physical activity ( measured by accelerometer and a validated questionnaire ) , and mothers ' body mass index and waist circumference .",tensor(1),4,conclusions,results,conclusions → results
119,"The plasma concentration in the lutein group was significantly higher than in controls at @ and @ months ( P < @ for both comparisons ) ; however , the MPOD values did not differ significantly between groups at @ ( P = @ ) or @ months ( P = @ ) .",tensor(3),0,objective,background,objective → background
120,"In patients with a plasma lutein concentration below the mean level in @ age-matched healthy subjects ( mean @ ng/mL ; n = @ in lutein group , n = @ in control group ) , the control MPOD values significantly ( P = @ ) decreased at @ months ( mean baseline , @ DU ; @ months , @ DU ) .",tensor(3),0,objective,background,objective → background
121,The aim of this study was to investigate the effect of two different resuscitation fluid strategies on the mortality of patients with shock .,tensor(0),1,background,conclusions,background → conclusions
122,Both cohorts received maintenance fluids consisting in isotonic crystalloids and albumin in case of severe hypoalbuminemia ( < @ g/dL ) .,tensor(4),2,results,methods,results → methods
123,We discussed herein some methodological issues that may explain the discrepancies of this trial with the other studies developed in the same field .,tensor(0),2,background,methods,background → methods
124,Preserved residual acoustic hearing has a positive effect on speech intelligibility in difficult noise conditions .,tensor(0),3,background,objective,background → objective
125,Speech perception in noise was measured for bilateral CI and EAS patient groups .,tensor(0),3,background,objective,background → objective
126,Speech reception thresholds ( SRT ) were measured using a closed-set sentence matrix test .,tensor(1),0,conclusions,background,conclusions → background
127,This effect was absent in both implanted user groups .,tensor(0),3,background,objective,background → objective
128,Relative vaccine efficacy in severe influenza was @ % ( @ % CI : @-@ @ ) .,tensor(1),4,conclusions,results,conclusions → results
129,"Participants were @ % female with a mean age and body mass index of @ y and @ kg/m ( @ ) , respectively .",tensor(3),0,objective,background,objective → background
130,"Changes from baseline in LMTT Matsuda insulin sensitivity index ( -@ vs. -@ , respectively ; baseline = @ ) and mean HOMA@ -- cell function ( -@ vs. @ % , respectively ; baseline = @ % ) did not differ significantly between treatments .",tensor(1),0,conclusions,background,conclusions → background
131,Treatment with methylphenidate ( MPD ) has improved learning disabilities in ADHD by acting on neurotransmitters .,tensor(3),2,objective,methods,objective → methods
132,Thirty-nine patients were included between April @ and December @ .,tensor(4),1,results,conclusions,results → conclusions
133,"From January to December @ , @ consecutive patients undergoing a liver resection were randomized to the radiofrequency vessel-sealing system ( LF@ group ; N = @ ) or to the clamp-crushing technique ( Kelly group , N = @ ) .",tensor(4),2,results,methods,results → methods
134,We conducted a randomized pilot study of NMES vs sham applied to @ bilateral lower extremity muscle groups for @ minutes daily in the intensive care unit ( ICU ) .,tensor(2),0,methods,background,methods → background
135,"Between June @ and March @ , we enrolled adults who were receiving mechanical ventilation within the first week of ICU stay and who could transfer independently from bed to chair before hospital admission .",tensor(4),2,results,methods,results → methods
136,"Finally , both groups had higher QoL scores after treatment , with all assessed parameters except environment showing a significant improvement ( all P less than @ ) .",tensor(4),2,results,methods,results → methods
137,Progressive decline of psychophysical cone-mediated measures has been reported in type @ ( USH@ ) and type @ ( USH@ ) Usher syndrome .,tensor(0),3,background,objective,background → objective
138,We evaluated cone signals in USH@ and USH@ by recording microvolt level cycle-by-cycle ( CxC ) ERG .,tensor(4),1,results,conclusions,results → conclusions
139,"The CxC ERG method provided reliable responses in all subjects , whereas conventional ERG was undetectable in @ of @ subjects .",tensor(1),4,conclusions,results,conclusions → results
140,@ Japanese and @ Caucasian healthy subjects were enrolled .,tensor(4),2,results,methods,results → methods
141,Isthmic spondylolisthesis was not more prevalent than what has been reported in other populations .,tensor(4),2,results,methods,results → methods
142,@ patients were included for analysis .,tensor(2),4,methods,results,methods → results
143,"The AUC was greatest for the @-hDS ( @ ) , followed by the @-h % FEV@ ( @ ) .",tensor(0),1,background,conclusions,background → conclusions
144,These were associated with a + LR for the composite outcome of @ and @ respectively .,tensor(3),0,objective,background,objective → background
145,The @-hscore for % FEV@ and DS performed better than scores at any other time point and better than either parameter over time .,tensor(1),4,conclusions,results,conclusions → results
146,Sarcopenia is currently best described as an age-related decline in skeletal muscle mass and function .,tensor(0),3,background,objective,background → objective
147,"Twenty-five older adults ( @ y ; BMI = @ kgm ( -@ ) ) completed a @-week resistance training program in a wait-list controlled , cross-over design .",tensor(3),0,objective,background,objective → background
148,"In this study , we explore the role of vascular senescence in premature CAD ( PCAD ) in a developing country by comparing the numerical status and senescence of circulating EPCs in PCAD patients to controls .",tensor(0),1,background,conclusions,background → conclusions
149,"EPCs were measured by flow cytometry in @ patients with angiographically documented CAD , and @ controls without evidence of CAD , recruited from random patients @ years of age at All India Institute of Medical Sciences .",tensor(3),0,objective,background,objective → background
150,"Three treatments were taken as one course , and totally one course was given .",tensor(4),0,results,background,results → background
151,The control group was treated with oral administration of loratadine and nasal spray of budesonide .,tensor(0),3,background,objective,background → objective
152,"After treatment , both groups effectively reduced the contents of IgE , IL-@ , IL-@ and TNF - , and the observation group had superior effect on reducing IgE and IL-@ to the control group ( P < @ ) .",tensor(4),1,results,conclusions,results → conclusions
153,The medicinal vesiculation combined with quick cupping at Shenque ( CV @ ) have better effect for allergic rhinitis with syndrome of yang deficiency than oral administration of loratadine and nasal spray of budesonide .,tensor(4),2,results,methods,results → methods
154,Tamsulosin and mirabegron may be used concomitantly in patients with lower urinary tract symptoms .,tensor(2),0,methods,background,methods → background
155,"Since alpha@-adrenoceptor antagonists are associated with cardiovascular side effects , potential pharmacokinetic and cardiovascular interactions were evaluated .",tensor(4),2,results,methods,results → methods
156,"In arm @ , subjects received single-dose tamsulosin hydrochloride modified release capsules ( @ mg ) alone and with steady-state mirabegron oral controlled absorption system tablets ( @ mg once daily ) in random sequence .",tensor(0),3,background,objective,background → objective
157,Both groups were treated by standard pharmacotherapy and SLIT with Dermatophagoides farinae ( American HDM ) extracts for @ weeks .,tensor(1),4,conclusions,results,conclusions → results
158,"Cyclic guanosine monophosphate ( cGMP ) signaling affects energy balance , IR , and glucose metabolism in experimental models .",tensor(3),2,objective,methods,objective → methods
159,"Oral glucose tolerance tests were performed , and the effect of tadalafil on IR was examined .",tensor(0),3,background,objective,background → objective
160,"A total of @ participants ( mean age , @ years ; body mass index -LSB- BMI -RSB- , @ kg/m ( @ ) ) were analyzed , @ randomized to tadalafil and @ to placebo .",tensor(4),2,results,methods,results → methods
161,"However , in individuals with severe obesity ( BMI @ kg/m ( @ ) ) , tadalafil use was associated with improved IR ( homeostatic model assessment for IR ) , compared to placebo ( P = @ , respectively ) .",tensor(4),2,results,methods,results → methods
162,"Adult patients ( n = @ , @-@ years ) admitted with a smoking-related illnesses to @ hospitals were randomized to receive either @ weeks of varenicline tartrate ( titrated from @ mg daily to @mg twice daily ) plus quitline-counseling ( VT+C ) , ( n = @ ) or quitline-counseling alone ( n = @ ) .",tensor(4),1,results,conclusions,results → conclusions
163,"VT was well tolerated in the inpatient setting among subjects admitted with acute smoking-related illnesses ( mean age @ and @ years in the VT+C and counseling alone groups , respectively ) .",tensor(1),4,conclusions,results,conclusions → results
164,Forty ceramic specimens were fabricated .,tensor(1),0,conclusions,background,conclusions → background
165,A mean E ( SD ) of @ ( @ ) for VC and @ ( @ ) for @D was observed ( P = @ ) .,tensor(4),2,results,methods,results → methods
166,"Compared with direct shade matching using VC , the indirect method with the optimized tables resulted in a mean E of @ ( @ ) , which was not significantly different ( P = @ ) .",tensor(3),0,objective,background,objective → background
167,It has been proposed that fatty acids ( FAs ) are potential factors that influence oocyte maturation and subsequent embryo development .,tensor(2),4,methods,results,methods → results
168,"There was no significant difference between @ ppm F and @,@ ppm F for % SMHR and between @,@ ppm F and @,@ ppm F for % SMHR , EFU and % NAR .",tensor(4),1,results,conclusions,results → conclusions
169,Progression-free survival was significantly better with dose escalation .,tensor(1),4,conclusions,results,conclusions → results
170,"Abdominal obesity and exaggerated postprandial lipemia are independent risk factors for cardiovascular disease ( CVD ) and mortality , and both are affected by dietary behavior .",tensor(3),0,objective,background,objective → background
171,This trial was registered at clinicaltrials.gov as NCT@ .,tensor(4),1,results,conclusions,results → conclusions
172,This resulted in a @ % reduction in drug cost from before dose reduction ( P < @ ) .,tensor(2),3,methods,objective,methods → objective
173,Disease relapsed in @ patients who received clinically based dosing ( @ % ) and @ patients who received concentration-based dosing ( @ % ) ( P = @ ) .,tensor(1),0,conclusions,background,conclusions → background
174,Cross-sectional study .,tensor(1),4,conclusions,results,conclusions → results
175,"After informed consent , volunteers were randomized to @ of the @ visual field defects listed above .",tensor(3),0,objective,background,objective → background
176,Three patients in the Saline group had an episode of oxygen desaturation requiring oxygen therapy .,tensor(1),0,conclusions,background,conclusions → background
177,"In this double-blind , placebo-controlled , parallel-group study in adults with a history of migraine with or without aura , participants were randomized via computer-generated lists to AVP-@ or placebo device to treat a single migraine headache of moderate or severe intensity .",tensor(3),0,objective,background,objective → background
178,Thirty-four percent of patients treated with AVP-@ were pain-free at @ hours compared with @ % using the placebo device ( P = @ ) .,tensor(3),0,objective,background,objective → background
179,"Chest pain or pressure was not reported , and only one patient taking AVP-@ reported mild paresthesia .",tensor(0),2,background,methods,background → methods
180,No other triptan sensations were reported .,tensor(1),4,conclusions,results,conclusions → results
181,The treatment was well tolerated with a low incidence of systemic AEs .,tensor(1),4,conclusions,results,conclusions → results
182,The primary outcome was pain with IUD placement on a @-cm visual analog scale .,tensor(1),0,conclusions,background,conclusions → background
183,The primary outcome was the change in right thigh muscle volume by MRI at @ weeks .,tensor(0),3,background,objective,background → objective
184,"Guided by a multi-level , conceptual framework that emphasizes changes in provider beliefs and organizational characteristics as drivers of improvement in tobacco treatment delivery , the current protocol will use a cluster , randomized design and multiple data sources ( patient exit interviews , provider surveys , site observations , chart audits , and semi-structured provider interviews ) to study the process of implementing clinical practice guidelines for treating tobacco dependence in @ public dental care clinics in New York City .",tensor(4),1,results,conclusions,results → conclusions
185,"The findings will improve knowledge pertinent to the implementation , dissemination , and sustained utilization of evidence-based tobacco use treatment in dental practices .",tensor(3),0,objective,background,objective → background
